iter	MultiClass
0	1.570374536
1	1.520269245
2	1.47139657
3	1.434461822
4	1.405649911
5	1.367701524
6	1.342749306
7	1.30357292
8	1.278721436
9	1.253867037
10	1.229192487
11	1.218173799
12	1.200552388
13	1.179222868
14	1.161338327
15	1.148550169
16	1.132376301
17	1.114800518
18	1.098821657
19	1.083984468
20	1.067615052
21	1.055636633
22	1.044569895
23	1.039262711
24	1.028522139
25	1.0165254
26	1.004078127
27	0.9934216982
28	0.9830018321
29	0.9731534261
30	0.963356289
31	0.9562645999
32	0.9494830402
33	0.9416272403
34	0.9310859157
35	0.9222251365
36	0.9153189902
37	0.9044107345
38	0.898158873
39	0.895639554
40	0.8868364727
41	0.8814619917
42	0.8720266267
43	0.8651353369
44	0.8583748463
45	0.8529350942
46	0.8463721376
47	0.8409083109
48	0.8354017372
49	0.8286230614
50	0.8245374633
51	0.8213307022
52	0.8170223786
53	0.8130054826
54	0.8084572836
55	0.8033682589
56	0.7992724086
57	0.7953785346
58	0.7889867164
59	0.785439637
60	0.7806669638
61	0.7774036272
62	0.7729832166
63	0.7690906224
64	0.7678421312
65	0.7652945317
66	0.7607533051
67	0.756941104
68	0.7530568125
69	0.7487859686
70	0.7456265734
71	0.7405639615
72	0.7391785952
73	0.7358222183
74	0.7327219955
75	0.7288689328
76	0.7255239821
77	0.7226698778
78	0.7202253937
79	0.7174987041
80	0.7140417962
81	0.7109867613
82	0.7081233627
83	0.7044816419
84	0.7015574996
85	0.697469792
86	0.6952240251
87	0.6914548154
88	0.6888760192
89	0.6855259454
90	0.6809808334
91	0.6781772759
92	0.676246094
93	0.6727991343
94	0.6693548707
95	0.6664766348
96	0.6642026567
97	0.6609793495
98	0.6567758434
99	0.6552409819
100	0.6531299656
101	0.6499666004
102	0.6487734468
103	0.6451994303
104	0.6423596989
105	0.6392126346
106	0.6358077026
107	0.6338517205
108	0.6311783918
109	0.628390427
110	0.6259101011
111	0.6244444257
112	0.6216330612
113	0.6186314338
114	0.6158834446
115	0.6132316298
116	0.611606674
117	0.6100234926
118	0.6087317004
119	0.6067562814
120	0.604787034
121	0.602536797
122	0.6003614732
123	0.5986956836
124	0.5966036494
125	0.5949553447
126	0.5921907567
127	0.5899818494
128	0.5879787648
129	0.5854577057
130	0.583542711
131	0.5815886849
132	0.5793108273
133	0.5776655532
134	0.5753813262
135	0.5737853598
136	0.5723783627
137	0.5710608591
138	0.568938692
139	0.5666408458
140	0.5646725123
141	0.5630274186
142	0.5612124386
143	0.5584626916
144	0.5562215912
145	0.5545044583
146	0.5521711928
147	0.5501435209
148	0.5484794709
149	0.546447658
150	0.5446269402
151	0.5429617223
152	0.5411043756
153	0.5400946239
154	0.5379955206
155	0.5361639589
156	0.534709703
157	0.5331095822
158	0.5318690005
159	0.5298928834
160	0.5278183406
161	0.526119364
162	0.5245994745
163	0.5235314306
164	0.5220733442
165	0.5208123178
166	0.5194225201
167	0.51770384
168	0.515711394
169	0.5133162976
170	0.5121310998
171	0.5111279081
172	0.5096505925
173	0.5081614409
174	0.5067166476
175	0.5054846767
176	0.5042645648
177	0.5034177762
178	0.502090955
179	0.5006620408
180	0.4990161262
181	0.4970670383
182	0.4957936465
183	0.4946485324
184	0.493356231
185	0.4922976942
186	0.4911772393
187	0.489863624
188	0.4885568201
189	0.4872816132
190	0.4860632328
191	0.4849184464
192	0.4835549312
193	0.4821542872
194	0.4812467668
195	0.4797097915
196	0.4788765683
197	0.4774673914
198	0.4764151859
199	0.4748423262
200	0.4736202091
201	0.4726666772
202	0.471671231
203	0.4702191398
204	0.4691536086
205	0.4679211431
206	0.4666541352
207	0.4654936343
208	0.4640798306
209	0.4632168068
210	0.4620986373
211	0.4608123743
212	0.4596873524
213	0.4585742844
214	0.457521731
215	0.456195489
216	0.455021072
217	0.4541776402
218	0.4528332018
219	0.4516425191
220	0.449294551
221	0.4485147737
222	0.4475718055
223	0.4463328618
224	0.4453837143
225	0.4443672023
226	0.4432863697
227	0.4421989765
228	0.4411093542
229	0.4404852162
230	0.4395380637
231	0.438442111
232	0.4365512939
233	0.435554584
234	0.43459656
235	0.4337695121
236	0.4329945522
237	0.4322397178
238	0.4311643714
239	0.4306712303
240	0.4298883746
241	0.4292018362
242	0.4281432095
243	0.4272262913
244	0.4264961335
245	0.4254036199
246	0.4247376096
247	0.423992503
248	0.4232614042
249	0.4221328926
250	0.4215173819
251	0.4204528102
252	0.4197892746
253	0.4189850232
254	0.4182495829
255	0.4174377563
256	0.4164392394
257	0.4154727238
258	0.4148685638
259	0.414101479
260	0.4132036888
261	0.4122332467
262	0.4113214257
263	0.4102197726
264	0.4094022706
265	0.4086741437
266	0.4075850182
267	0.4066791198
268	0.4058177309
269	0.4047665791
270	0.4038715798
271	0.4031272973
272	0.4023698925
273	0.4015749761
274	0.4006121564
275	0.3995543842
276	0.3990626559
277	0.3981845763
278	0.3972896237
279	0.3967361245
280	0.3957464206
281	0.3948992362
282	0.3942009002
283	0.393482569
284	0.3927963649
285	0.3921984263
286	0.3915684445
287	0.3905621435
288	0.3896344963
289	0.3889924642
290	0.3881851705
291	0.3875556674
292	0.3866977392
293	0.3859959632
294	0.3849780946
295	0.3843149924
296	0.383554974
297	0.3826372665
298	0.3819968944
299	0.3812960053
300	0.3808067658
301	0.3800254633
302	0.3789855397
303	0.378020037
304	0.3772908119
305	0.3767239052
306	0.3760364199
307	0.3753380066
308	0.3748298979
309	0.3740246768
310	0.3732597504
311	0.3725384856
312	0.3717007745
313	0.3711090947
314	0.3702585072
315	0.3692998779
316	0.3686726573
317	0.3677578504
318	0.3668942481
319	0.3662838768
320	0.365801489
321	0.3653337943
322	0.3646160728
323	0.3637941846
324	0.3631377686
325	0.3624746956
326	0.3617380699
327	0.3608501354
328	0.3603655581
329	0.3595696623
330	0.3587391148
331	0.3581141553
332	0.3575735589
333	0.3564929205
334	0.3560966363
335	0.355306063
336	0.3543979647
337	0.353616215
338	0.3529408609
339	0.3523858766
340	0.3519988928
341	0.3515497849
342	0.350975376
343	0.3503939019
344	0.3499107617
345	0.3494014022
346	0.3488750038
347	0.348225517
348	0.3473884864
349	0.3464807068
350	0.3458653369
