iter	Passed	Remaining
0	4	4557
1	6	3257
2	8	2743
3	10	2509
4	11	2377
5	13	2290
6	15	2244
7	17	2217
8	20	2204
9	22	2188
10	24	2181
11	24	2043
12	27	2079
13	29	2076
14	31	2097
15	33	2065
16	35	2071
17	38	2090
18	40	2082
19	42	2074
20	44	2072
21	46	2051
22	48	2040
23	49	2000
24	51	1989
25	53	1993
26	56	2037
27	58	2026
28	60	2021
29	62	2018
30	64	2007
31	66	2005
32	68	2004
33	70	1996
34	72	1994
35	74	1986
36	75	1973
37	77	1968
38	79	1959
39	80	1932
40	82	1933
41	84	1935
42	86	1928
43	88	1919
44	90	1918
45	92	1910
46	93	1905
47	96	1909
48	98	1904
49	99	1896
50	101	1893
51	103	1891
52	105	1885
53	107	1883
54	109	1886
55	111	1882
56	113	1877
57	115	1873
58	117	1867
59	118	1861
60	120	1860
61	122	1855
62	124	1849
63	126	1848
64	128	1843
65	129	1836
66	131	1833
67	133	1833
68	135	1828
69	137	1831
70	139	1831
71	141	1826
72	143	1822
73	145	1822
74	147	1818
75	149	1818
76	151	1816
77	153	1812
78	155	1807
79	156	1803
80	158	1801
81	160	1798
82	162	1796
83	164	1795
84	166	1793
85	168	1791
86	170	1790
87	172	1785
88	174	1782
89	176	1782
90	178	1779
91	179	1775
92	181	1773
93	183	1771
94	185	1769
95	187	1768
96	189	1766
97	191	1764
98	193	1761
99	195	1763
100	197	1760
101	199	1757
102	201	1754
103	203	1752
104	205	1750
105	207	1747
106	209	1744
107	210	1741
108	212	1740
109	214	1738
110	216	1734
111	218	1733
112	220	1730
113	222	1729
114	224	1727
115	226	1725
116	228	1721
117	229	1718
118	231	1717
119	233	1714
120	235	1711
121	237	1709
122	239	1706
123	241	1703
124	242	1700
125	245	1700
126	247	1698
127	248	1695
128	250	1692
129	252	1692
130	254	1690
131	256	1688
132	258	1686
133	260	1683
134	262	1681
135	264	1679
136	266	1676
137	267	1673
138	269	1670
139	271	1668
140	273	1665
141	275	1663
142	277	1661
143	279	1658
144	281	1658
145	283	1656
146	285	1654
147	287	1654
148	289	1651
149	290	1647
150	292	1644
151	294	1641
152	295	1638
153	297	1634
154	299	1631
155	301	1629
156	303	1627
157	304	1624
158	306	1623
159	308	1621
160	310	1619
161	312	1617
162	314	1614
163	316	1612
164	318	1610
165	319	1607
166	321	1604
167	323	1602
168	325	1600
169	327	1598
170	329	1596
171	331	1594
172	333	1592
173	335	1590
174	336	1588
175	338	1585
176	340	1583
177	342	1580
178	344	1578
179	345	1576
180	347	1573
181	349	1571
182	351	1569
183	353	1567
184	355	1566
185	357	1564
186	359	1561
187	361	1559
188	362	1557
189	364	1554
190	366	1552
191	368	1550
192	370	1547
193	372	1545
194	373	1543
195	375	1542
196	377	1540
197	379	1538
198	381	1537
199	383	1534
200	385	1532
201	387	1530
202	389	1527
203	391	1526
204	393	1524
205	394	1521
206	396	1520
207	398	1518
208	400	1516
209	402	1514
210	404	1513
211	406	1511
212	408	1508
213	410	1507
214	412	1506
215	414	1503
216	416	1501
217	418	1499
218	419	1497
219	421	1495
220	423	1493
221	425	1491
222	427	1489
223	429	1487
224	431	1485
225	433	1483
226	434	1481
